work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L
2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M
2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M
2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M
2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M
2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M
2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M
2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M
2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M
2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M
2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M
2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M
2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L
2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M
2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M
2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M
2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L
2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M
2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L
2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M
2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M
